1
exp/gaea_Peru.json;1248
ARGS
exp/gaea_Peru.json
using the following metadata file:
exp/gaea_Peru.json
number of jobs submitted:
1248
numjob = 1196, jobid = 1196, nphotons = 100000, cosz = -0.4, simulation time = 25.710807466506957 minutes
numjob = 1164, jobid = 1164, nphotons = 100000, cosz = -0.1, simulation time = 25.8744983792305 minutes
numjob = 1177, jobid = 1177, nphotons = 100000, cosz = -0.25, simulation time = 25.93214261929194 minutes
numjob = 1227, jobid = 1227, nphotons = 100000, cosz = -0.55, simulation time = 25.94320173660914 minutes
numjob = 1190, jobid = 1190, nphotons = 100000, cosz = -0.4, simulation time = 25.951405596733093 minutes
numjob = 1235, jobid = 1235, nphotons = 100000, cosz = -0.85, simulation time = 26.135162941614787 minutes
numjob = 1221, jobid = 1221, nphotons = 100000, cosz = -0.55, simulation time = 26.148789771397908 minutes
numjob = 1184, jobid = 1184, nphotons = 100000, cosz = -0.4, simulation time = 26.17018157641093 minutes
numjob = 1215, jobid = 1215, nphotons = 100000, cosz = -0.55, simulation time = 26.446218168735506 minutes
numjob = 1209, jobid = 1209, nphotons = 100000, cosz = -0.55, simulation time = 26.50623830159505 minutes
numjob = 1228, jobid = 1228, nphotons = 100000, cosz = -0.7, simulation time = 26.53382743994395 minutes
numjob = 1197, jobid = 1197, nphotons = 100000, cosz = -0.55, simulation time = 26.58359795808792 minutes
numjob = 1203, jobid = 1203, nphotons = 100000, cosz = -0.55, simulation time = 26.604325767358144 minutes
numjob = 1222, jobid = 1222, nphotons = 100000, cosz = -0.7, simulation time = 26.68569643497467 minutes
numjob = 1198, jobid = 1198, nphotons = 100000, cosz = -0.7, simulation time = 26.696350423494973 minutes
numjob = 1216, jobid = 1216, nphotons = 100000, cosz = -0.7, simulation time = 26.819644673665366 minutes
numjob = 1191, jobid = 1191, nphotons = 100000, cosz = -0.55, simulation time = 26.820229387283327 minutes
numjob = 1210, jobid = 1210, nphotons = 100000, cosz = -0.7, simulation time = 26.824070819218953 minutes
