1
exp/gaea_Peru_recoverjobs.json;643
ARGS
exp/gaea_Peru_recoverjobs.json
using the following metadata file:
exp/gaea_Peru_recoverjobs.json
number of jobs submitted:
643
numjob = 352, jobid = 534, nphotons = 100, cosz = -0.4, simulation time = 0.9911780675252279 minutes
numjob = 96, jobid = 118, nphotons = 100, cosz = -0.55, simulation time = 0.9913050889968872 minutes
numjob = 437, jobid = 670, nphotons = 100, cosz = -0.25, simulation time = 0.9910881161689759 minutes
numjob = 448, jobid = 681, nphotons = 100, cosz = -0.4, simulation time = 0.9911887168884277 minutes
numjob = 511, jobid = 768, nphotons = 100, cosz = -0.7, simulation time = 0.9913514812787374 minutes
numjob = 331, jobid = 480, nphotons = 100, cosz = -0.7, simulation time = 0.9901838103930155 minutes
numjob = 237, jobid = 317, nphotons = 100, cosz = -0.4, simulation time = 0.9913636207580566 minutes
numjob = 426, jobid = 635, nphotons = 100, cosz = -0.7, simulation time = 0.9913753986358642 minutes
numjob = 185, jobid = 248, nphotons = 100, cosz = -0.4, simulation time = 0.9915412902832031 minutes
numjob = 369, jobid = 551, nphotons = 100, cosz = -0.55, simulation time = 0.9912981192270914 minutes
numjob = 328, jobid = 477, nphotons = 100, cosz = -0.55, simulation time = 0.9912822326024373 minutes
numjob = 411, jobid = 620, nphotons = 100, cosz = -0.55, simulation time = 0.9914725343386332 minutes
numjob = 183, jobid = 246, nphotons = 100, cosz = -0.4, simulation time = 0.9915971000989278 minutes
numjob = 371, jobid = 554, nphotons = 100, cosz = -0.7, simulation time = 0.99134175380071 minutes
numjob = 461, jobid = 694, nphotons = 100, cosz = -0.55, simulation time = 0.9913391391436259 minutes
numjob = 267, jobid = 382, nphotons = 100, cosz = -0.25, simulation time = 0.9916304190953572 minutes
numjob = 112, jobid = 156, nphotons = 100, cosz = -0.25, simulation time = 0.9917578101158142 minutes
numjob = 552, jobid = 833, nphotons = 100, cosz = -0.55, simulation time = 0.9915851314862569 minutes
numjob = 315, jobid = 464, nphotons = 100, cosz = -0.4, simulation time = 0.991571593284607 minutes
numjob = 347, jobid = 529, nphotons = 100, cosz = -0.4, simulation time = 0.9915443181991577 minutes
numjob = 358, jobid = 540, nphotons = 100, cosz = -0.55, simulation time = 0.9916555484135946 minutes
numjob = 497, jobid = 754, nphotons = 100, cosz = -0.4, simulation time = 0.9913402557373047 minutes
numjob = 258, jobid = 373, nphotons = 100, cosz = -0.25, simulation time = 0.9917001167933146 minutes
